FIPS Code, State/Area, Year, Month, Total Civilian Non-Institutional Population in State/Area, Total Civilian Labor Force in State/Area, Percent (%) of State/Area's Population, Total Employment in State/Area, Percent (%) of Labor Force Employed in State/Area, Total Unemployment in State/Area, Percent (%) of Labor Force Unemployed in State/Area
38, North Dakota,2006,1,493054,358494,72.7,347249,70.4,11245,3.1
39, Ohio,2006,1,8845558,5900385,66.7,5577335,63.1,323050,5.5
40, Oklahoma,2006,1,2676326,1710025,63.9,1642205,61.4,67820,4
41, Oregon,2006,1,2853540,1858333,65.1,1753954,61.5,104379,5.6
42, Pennsylvania,2006,1,9743262,6262494,64.3,5964453,61.2,298041,4.8
44, Rhode Island,2006,1,837917,569149,67.9,538717,64.3,30432,5.3
45, South Carolina,2006,1,3273927,2119855,64.7,1968705,60.1,151150,7.1
46, South Dakota,2006,1,593857,429781,72.4,416242,70.1,13539,3.2
47, Tennessee,2006,1,4657345,2948616,63.3,2788197,59.9,160419,5.4
48, Texas,2006,1,16781676,11240453,67,10647444,63.4,593009,5.3
49, Utah,2006,1,1809287,1307644,72.3,1263185,69.8,44459,3.4
50, Vermont,2006,1,497880,353344,71,340982,68.5,12362,3.5
51, Virginia,2006,1,5755845,3944531,68.5,3807796,66.2,136735,3.5
53, Washington,2006,1,4872643,3292718,67.6,3125422,64.1,167296,5.1
54, West Virginia,2006,1,1438237,799606,55.6,758886,52.8,40720,5.1
55, Wisconsin,2006,1,4308593,3044830,70.7,2902831,67.4,141999,4.7
56, Wyoming,2006,1,393128,281549,71.6,272423,69.3,9126,3.2
01, Alabama,2006,2,3507068,2153411,61.4,2065225,58.9,88186,4.1
02, Alaska,2006,2,486740,346742,71.2,322936,66.3,23806,6.9
04, Arizona,2006,2,4574548,2926379,64,2796970,61.1,129409,4.4
05, Arkansas,2006,2,2132647,1343722,63,1274911,59.8,68811,5.1
06, California,2006,2,26947217,17587038,65.3,16714377,62,872661,5
037, Los Angeles County,2006,2,7372547,4805566,65.2,4569340,62,236226,4.9
08, Colorado,2006,2,3595664,2612418,72.7,2495895,69.4,116523,4.5
09, Connecticut,2006,2,2689362,1819226,67.6,1737275,64.6,81951,4.5
10, Delaware,2006,2,653305,442164,67.7,423908,64.9,18256,4.1
11, District of Columbia,2006,2,469249,317249,67.6,297468,63.4,19781,6.2
12, Florida,2006,2,14085252,8812184,62.6,8601209,61.1,210975,2.4
13, Georgia,2006,2,6856084,4662900,68,4418947,64.5,243953,5.2
15, Hawaii,2006,2,958135,631267,65.9,614296,64.1,16971,2.7
16, Idaho,2006,2,1075601,739890,68.8,712681,66.3,27209,3.7
17, Illinois,2006,2,9656519,6453903,66.8,6133097,63.5,320806,5
18, Indiana,2006,2,4781693,3231598,67.6,3070849,64.2,160749,5
19, Iowa,2006,2,2285822,1645442,72,1583664,69.3,61778,3.8
20, Kansas,2006,2,2075909,1455091,70.1,1388411,66.9,66680,4.6
21, Kentucky,2006,2,3232798,2008797,62.1,1889872,58.5,118925,5.9
22, Louisiana,2006,2,3169757,1998960,63.1,1907657,60.2,91303,4.6
23, Maine,2006,2,1048355,697805,66.6,665670,63.5,32135,4.6
24, Maryland,2006,2,4282638,2964849,69.2,2845544,66.4,119305,4
25, Massachusetts,2006,2,5082903,3392290,66.7,3232254,63.6,160036,4.7
26, Michigan,2006,2,7758526,5067483,65.3,4718738,60.8,348745,6.9
27, Minnesota,2006,2,3956568,2886107,72.9,2768846,70,117261,4.1
28, Mississippi,2006,2,2129927,1272806,59.8,1189293,55.8,83513,6.6
29, Missouri,2006,2,4469775,3016412,67.5,2869483,64.2,146929,4.9
30, Montana,2006,2,735491,490715,66.7,473484,64.4,17231,3.5
31, Nebraska,2006,2,1330588,968388,72.8,937521,70.5,30867,3.2
32, Nevada,2006,2,1861136,1264123,67.9,1214044,65.2,50079,4
33, New Hampshire,2006,2,1028027,728227,70.8,703407,68.4,24820,3.4
34, New Jersey,2006,2,6652616,4425264,66.5,4214385,63.3,210879,4.8
35, New Mexico,2006,2,1454313,909312,62.5,869623,59.8,39689,4.4
36, New York,2006,2,15076445,9529175,63.2,9077960,60.2,451215,4.7
51000, New York city,2006,2,6449333,3828293,59.4,3626316,56.2,201977,5.3
37, North Carolina,2006,2,6666109,4400107,66,4177906,62.7,222201,5
38, North Dakota,2006,2,493192,359250,72.8,348085,70.6,11165,3.1
39, Ohio,2006,2,8847270,5904768,66.7,5588283,63.2,316485,5.4
40, Oklahoma,2006,2,2678907,1708921,63.8,1642490,61.3,66431,3.9
41, Oregon,2006,2,2857633,1861625,65.1,1759373,61.6,102252,5.5
42, Pennsylvania,2006,2,9747075,6267038,64.3,5972062,61.3,294976,4.7
44, Rhode Island,2006,2,837807,569485,68,539189,64.4,30296,5.3
45, South Carolina,2006,2,3279623,2135776,65.1,1985178,60.5,150598,7.1
46, South Dakota,2006,2,594424,429875,72.3,416765,70.1,13110,3
47, Tennessee,2006,2,4663797,2961842,63.5,2800802,60.1,161040,5.4
48, Texas,2006,2,16808414,11253367,67,10664814,63.4,588553,5.2
49, Utah,2006,2,1814025,1311981,72.3,1268854,69.9,43127,3.3
50, Vermont,2006,2,498164,353706,71,341368,68.5,12338,3.5
51, Virginia,2006,2,5761823,3949380,68.5,3815798,66.2,133582,3.4
53, Washington,2006,2,4880489,3297951,67.6,3133200,64.2,164751,5
54, West Virginia,2006,2,1438480,800803,55.7,760564,52.9,40239,5
55, Wisconsin,2006,2,4311099,3046724,70.7,2906854,67.4,139870,4.6
56, Wyoming,2006,2,393646,281877,71.6,273094,69.4,8783,3.1
01, Alabama,2006,3,3510348,2156335,61.4,2068505,58.9,87830,4.1
02, Alaska,2006,3,487558,347278,71.2,323717,66.4,23561,6.8
04, Arizona,2006,3,4587109,2937047,64,2808195,61.2,128852,4.4
05, Arkansas,2006,3,2134861,1345046,63,1275609,59.8,69437,5.2
06, California,2006,3,26956842,17596774,65.3,16730993,62.1,865781,4.9
037, Los Angeles County,2006,3,7373136,4804153,65.2,4571095,62,233058,4.9
08, Colorado,2006,3,3601065,2620070,72.8,2504897,69.6,115173,4.4
09, Connecticut,2006,3,2690127,1822224,67.7,1741020,64.7,81204,4.5
10, Delaware,2006,3,654229,442256,67.6,424429,64.9,17827,4
11, District of Columbia,2006,3,469395,317859,67.7,297973,63.5,19886,6.3
12, Florida,2006,3,14102496,8837309,62.7,8626543,61.2,210766,2.4
13, Georgia,2006,3,6868440,4672236,68,4430502,64.5,241734,5.2
15, Hawaii,2006,3,958572,631983,65.9,614874,64.1,17109,2.7
16, Idaho,2006,3,1077916,740751,68.7,713742,66.2,27009,3.6
17, Illinois,2006,3,9659302,6463382,66.9,6152425,63.7,310957,4.8
18, Indiana,2006,3,4784419,3233382,67.6,3073794,64.2,159588,4.9
19, Iowa,2006,3,2286724,1649127,72.1,1588911,69.5,60216,3.7
20, Kansas,2006,3,2076427,1454601,70.1,1389076,66.9,65525,4.5
21, Kentucky,2006,3,3235660,2011065,62.2,1894196,58.5,116869,5.8
22, Louisiana,2006,3,3174981,1995431,62.8,1910602,60.2,84829,4.3
23, Maine,2006,3,1048785,697986,66.6,666098,63.5,31888,4.6
24, Maryland,2006,3,4284856,2970542,69.3,2850446,66.5,120096,4
25, Massachusetts,2006,3,5084043,3394962,66.8,3235249,63.6,159713,4.7
26, Michigan,2006,3,7759212,5066385,65.3,4715647,60.8,350738,6.9
27, Minnesota,2006,3,3959476,2885094,72.9,2769722,70,115372,4
28, Mississippi,2006,3,2134966,1271087,59.5,1191197,55.8,79890,6.3
29, Missouri,2006,3,4473367,3019077,67.5,2873689,64.2,145388,4.8
30, Montana,2006,3,736318,492075,66.8,475078,64.5,16997,3.5
31, Nebraska,2006,3,1331045,968167,72.7,938255,70.5,29912,3.1
32, Nevada,2006,3,1866056,1270318,68.1,1219558,65.4,50760,4
33, New Hampshire,2006,3,1028953,728692,70.8,704087,68.4,24605,3.4
34, New Jersey,2006,3,6652747,4428914,66.6,4217367,63.4,211547,4.8
35, New Mexico,2006,3,1455737,910354,62.5,871364,59.9,38990,4.3
36, New York,2006,3,15079345,9535839,63.2,9087985,60.3,447854,4.7
51000, New York city,2006,3,6453511,3830542,59.4,3631926,56.3,198616,5.2
37, North Carolina,2006,3,6677429,4412606,66.1,4192361,62.8,220245,5
38, North Dakota,2006,3,493276,360031,73,348880,70.7,11151,3.1
39, Ohio,2006,3,8848684,5912662,66.8,5599950,63.3,312712,5.3
40, Oklahoma,2006,3,2681324,1708593,63.7,1642958,61.3,65635,3.8
41, Oregon,2006,3,2861501,1865808,65.2,1765028,61.7,100780,5.4
42, Pennsylvania,2006,3,9750419,6273630,64.3,5979608,61.3,294022,4.7
44, Rhode Island,2006,3,837636,570038,68.1,539718,64.4,30320,5.3
45, South Carolina,2006,3,3285071,2138279,65.1,1987777,60.5,150502,7
46, South Dakota,2006,3,594965,430158,72.3,417367,70.1,12791,3
47, Tennessee,2006,3,4670063,2976996,63.7,2814715,60.3,162281,5.5
48, Texas,2006,3,16856023,11272128,66.9,10683983,63.4,588145,5.2
49, Utah,2006,3,1818717,1316509,72.4,1274637,70.1,41872,3.2
50, Vermont,2006,3,498398,354035,71,341639,68.5,12396,3.5
51, Virginia,2006,3,5767386,3954870,68.6,3823250,66.3,131620,3.3
53, Washington,2006,3,4888004,3304104,67.6,3140073,64.2,164031,5
54, West Virginia,2006,3,1438683,802072,55.8,761818,53,40254,5
55, Wisconsin,2006,3,4313453,3049844,70.7,2911405,67.5,138439,4.5
56, Wyoming,2006,3,394067,282331,71.6,273809,69.5,8522,3
01, Alabama,2006,4,3513803,2159713,61.5,2071802,59,87911,4.1
02, Alaska,2006,4,488418,347940,71.2,324533,66.4,23407,6.7
04, Arizona,2006,4,4599748,2947857,64.1,2818660,61.3,129197,4.4
05, Arkansas,2006,4,2137212,1346255,63,1275834,59.7,70421,5.2
06, California,2006,4,26966975,17609415,65.3,16745349,62.1,864066,4.9
037, Los Angeles County,2006,4,7374003,4800479,65.1,4569479,62,231000,4.8
08, Colorado,2006,4,3606595,2627673,72.9,2512768,69.7,114905,4.4
09, Connecticut,2006,4,2690984,1824847,67.8,1743960,64.8,80887,4.4
10, Delaware,2006,4,655160,442353,67.5,424748,64.8,17605,4
11, District of Columbia,2006,4,469569,318547,67.8,298467,63.6,20080,6.3
12, Florida,2006,4,14120197,8863169,62.8,8650938,61.3,212231,2.4
13, Georgia,2006,4,6881073,4682594,68.1,4441462,64.5,241132,5.1
15, Hawaii,2006,4,959152,632898,66,615623,64.2,17275,2.7
16, Idaho,2006,4,1080272,741494,68.6,714784,66.2,26710,3.6
17, Illinois,2006,4,9662467,6474739,67,6171881,63.9,302858,4.7
18, Indiana,2006,4,4787349,3234908,67.6,3074689,64.2,160219,5
19, Iowa,2006,4,2287744,1652328,72.2,1592837,69.6,59491,3.6
20, Kansas,2006,4,2076998,1457490,70.2,1392614,67,64876,4.5
21, Kentucky,2006,4,3238700,2013756,62.2,1898114,58.6,115642,5.7
22, Louisiana,2006,4,3180290,1992841,62.7,1912614,60.1,80227,4
23, Maine,2006,4,1049273,698519,66.6,666474,63.5,32045,4.6
24, Maryland,2006,4,4287265,2976119,69.4,2853647,66.6,122472,4.1
25, Massachusetts,2006,4,5085460,3398710,66.8,3238568,63.7,160142,4.7
26, Michigan,2006,4,7760312,5064429,65.3,4711722,60.7,352707,7
27, Minnesota,2006,4,3962617,2883712,72.8,2769949,69.9,113763,3.9
28, Mississippi,2006,4,2140074,1272591,59.5,1193090,55.7,79501,6.2
29, Missouri,2006,4,4477206,3022984,67.5,2877879,64.3,145105,4.8
30, Montana,2006,4,737179,493679,67,476780,64.7,16899,3.4
31, Nebraska,2006,4,1331622,968417,72.7,939016,70.5,29401,3
32, Nevada,2006,4,1871057,1276714,68.2,1225043,65.5,51671,4
33, New Hampshire,2006,4,1029936,729434,70.8,704706,68.4,24728,3.4
34, New Jersey,2006,4,6653203,4432546,66.6,4220226,63.4,212320,4.8
35, New Mexico,2006,4,1457199,911689,62.6,872848,59.9,38841,4.3
36, New York,2006,4,15082831,9539977,63.3,9093660,60.3,446317,4.7
51000, New York city,2006,4,6457939,3831774,59.3,3635415,56.3,196359,5.1
37, North Carolina,2006,4,6689030,4427027,66.2,4205992,62.9,221035,5
38, North Dakota,2006,4,493406,360738,73.1,349549,70.8,11189,3.1
39, Ohio,2006,4,8850579,5923616,66.9,5610899,63.4,312717,5.3
40, Oklahoma,2006,4,2683861,1709125,63.7,1643647,61.2,65478,3.8
41, Oregon,2006,4,2865540,1870498,65.3,1770303,61.8,100195,5.4
42, Pennsylvania,2006,4,9754252,6281330,64.4,5985668,61.4,295662,4.7
44, Rhode Island,2006,4,837492,570682,68.1,540218,64.5,30464,5.3
45, South Carolina,2006,4,3290670,2141052,65.1,1990230,60.5,150822,7
46, South Dakota,2006,4,595529,430646,72.3,417991,70.2,12655,2.9
47, Tennessee,2006,4,4676556,2993120,64,2828835,60.5,164285,5.5
48, Texas,2006,4,16903616,11294298,66.8,10704340,63.3,589958,5.2
49, Utah,2006,4,1823477,1321063,72.4,1280361,70.2,40702,3.1
50, Vermont,2006,4,498663,354370,71.1,341788,68.5,12582,3.6
51, Virginia,2006,4,5773199,3960510,68.6,3829433,66.3,131077,3.3
53, Washington,2006,4,4895740,3311209,67.6,3146142,64.3,165067,5
54, West Virginia,2006,4,1438942,803284,55.8,762471,53,40813,5.1
55, Wisconsin,2006,4,4316003,3054068,70.8,2915742,67.6,138326,4.5
56, Wyoming,2006,4,394526,282905,71.7,274513,69.6,8392,3
01, Alabama,2006,5,3517270,2163359,61.5,2075386,59,87973,4.1
02, Alaska,2006,5,489223,348562,71.2,325248,66.5,23314,6.7
04, Arizona,2006,5,4612292,2958210,64.1,2828396,61.3,129814,4.4
05, Arkansas,2006,5,2139601,1346847,62.9,1275583,59.6,71264,5.3
06, California,2006,5,26975501,17622725,65.3,16757871,62.1,864854,4.9
037, Los Angeles County,2006,5,7374553,4794967,65,4564967,61.9,230000,4.8
08, Colorado,2006,5,3612117,2634815,72.9,2519556,69.8,115259,4.4
09, Connecticut,2006,5,2691896,1826938,67.9,1746106,64.9,80832,4.4
10, Delaware,2006,5,656124,442483,67.4,424936,64.8,17547,4
11, District of Columbia,2006,5,469711,319246,68,298941,63.6,20305,6.4
12, Florida,2006,5,14138018,8888754,62.9,8674278,61.4,214476,2.4
13, Georgia,2006,5,6893679,4693623,68.1,4452478,64.6,241145,5.1
15, Hawaii,2006,5,959626,633852,66.1,616564,64.3,17288,2.7
16, Idaho,2006,5,1082700,742127,68.5,715861,66.1,26266,3.5
17, Illinois,2006,5,9665568,6488248,67.1,6191538,64.1,296710,4.6
18, Indiana,2006,5,4790472,3235765,67.5,3073913,64.2,161852,5
19, Iowa,2006,5,2288903,1654729,72.3,1595166,69.7,59563,3.6
20, Kansas,2006,5,2077663,1460742,70.3,1396157,67.2,64585,4.4
21, Kentucky,2006,5,3241908,2017039,62.2,1901829,58.7,115210,5.7
22, Louisiana,2006,5,3185670,1991641,62.5,1913803,60.1,77838,3.9
23, Maine,2006,5,1049820,699299,66.6,666812,63.5,32487,4.6
24, Maryland,2006,5,4289562,2981172,69.5,2855605,66.6,125567,4.2
25, Massachusetts,2006,5,5086934,3403308,66.9,3242339,63.7,160969,4.7
26, Michigan,2006,5,7761618,5061963,65.2,4706902,60.6,355061,7
27, Minnesota,2006,5,3965924,2882539,72.7,2769759,69.8,112780,3.9
28, Mississippi,2006,5,2145215,1274797,59.4,1195081,55.7,79716,6.3
29, Missouri,2006,5,4481216,3028016,67.6,2882003,64.3,146013,4.8
30, Montana,2006,5,738094,495157,67.1,478285,64.8,16872,3.4
31, Nebraska,2006,5,1332250,969109,72.7,939813,70.5,29296,3
32, Nevada,2006,5,1875961,1282975,68.4,1230505,65.6,52470,4.1
33, New Hampshire,2006,5,1030955,730385,70.8,705339,68.4,25046,3.4
34, New Jersey,2006,5,6653548,4435463,66.7,4222693,63.5,212770,4.8
35, New Mexico,2006,5,1458612,913119,62.6,874072,59.9,39047,4.3
36, New York,2006,5,15085944,9538316,63.2,9093999,60.3,444317,4.7
51000, New York city,2006,5,6462117,3830823,59.3,3636814,56.3,194009,5.1
37, North Carolina,2006,5,6700727,4441640,66.3,4217778,62.9,223862,5
38, North Dakota,2006,5,493588,361347,73.2,350121,70.9,11226,3.1
39, Ohio,2006,5,8852737,5936851,67.1,5621439,63.5,315412,5.3
40, Oklahoma,2006,5,2686494,1710449,63.7,1644742,61.2,65707,3.8
41, Oregon,2006,5,2869684,1875141,65.3,1774854,61.8,100287,5.3
42, Pennsylvania,2006,5,9758456,6288804,64.4,5990267,61.4,298537,4.7
44, Rhode Island,2006,5,837393,571288,68.2,540727,64.6,30561,5.3
45, South Carolina,2006,5,3296309,2143551,65,1992605,60.4,150946,7
46, South Dakota,2006,5,596155,431321,72.4,418628,70.2,12693,2.9
47, Tennessee,2006,5,4683186,3008468,64.2,2842377,60.7,166091,5.5
48, Texas,2006,5,16950545,11316310,66.8,10726117,63.3,590193,5.2
49, Utah,2006,5,1828395,1325529,72.5,1286032,70.3,39497,3
50, Vermont,2006,5,498974,354749,71.1,341898,68.5,12851,3.6
51, Virginia,2006,5,5779056,3965991,68.6,3834431,66.4,131560,3.3
53, Washington,2006,5,4903582,3318875,67.7,3152061,64.3,166814,5
54, West Virginia,2006,5,1439305,804340,55.9,762671,53,41669,5.2
55, Wisconsin,2006,5,4318785,3059089,70.8,2919686,67.6,139403,4.6
56, Wyoming,2006,5,395045,283567,71.8,275179,69.7,8388,3
01, Alabama,2006,6,3520846,2167159,61.6,2079399,59.1,87760,4
02, Alaska,2006,6,490098,349037,71.2,325825,66.5,23212,6.7
04, Arizona,2006,6,4625438,2967768,64.2,2837632,61.3,130136,4.4
05, Arkansas,2006,6,2142069,1346705,62.9,1274991,59.5,71714,5.3
06, California,2006,6,26988015,17635569,65.3,16770248,62.1,865321,4.9
037, Los Angeles County,2006,6,7375161,4788555,64.9,4559158,61.8,229397,4.8
08, Colorado,2006,6,3617894,2641282,73,2525693,69.8,115589,4.4
09, Connecticut,2006,6,2692943,1828775,67.9,1747945,64.9,80830,4.4
10, Delaware,2006,6,657087,442683,67.4,425140,64.7,17543,4
11, District of Columbia,2006,6,469865,320029,68.1,299536,63.7,20493,6.4
12, Florida,2006,6,14157040,8913367,63,8696519,61.4,216848,2.4
13, Georgia,2006,6,6906479,4705063,68.1,4464013,64.6,241050,5.1
15, Hawaii,2006,6,960179,634758,66.1,617722,64.3,17036,2.7
16, Idaho,2006,6,1085185,742774,68.4,717041,66.1,25733,3.5
17, Illinois,2006,6,9669194,6503286,67.3,6210984,64.2,292302,4.5
18, Indiana,2006,6,4793709,3235953,67.5,3072514,64.1,163439,5.1
19, Iowa,2006,6,2290118,1656339,72.3,1596192,69.7,60147,3.6
20, Kansas,2006,6,2078448,1464180,70.4,1399759,67.3,64421,4.4
21, Kentucky,2006,6,3245138,2020968,62.3,1905580,58.7,115388,5.7
22, Louisiana,2006,6,3190999,1992413,62.4,1915199,60,77214,3.9
23, Maine,2006,6,1050414,700153,66.7,667096,63.5,33057,4.7
24, Maryland,2006,6,4292028,2985290,69.6,2857042,66.6,128248,4.3
25, Massachusetts,2006,6,5088681,3408276,67,3246530,63.8,161746,4.7
26, Michigan,2006,6,7763097,5058880,65.2,4701332,60.6,357548,7.1
27, Minnesota,2006,6,3969353,2882243,72.6,2769472,69.8,112771,3.9
